,userNr,userId,file_name,N,S,V,Nprec,Nrec,Nfsc,Sprec,Srec,Sfsc,Vprec,Vrec,Vfsc,Err%,Noise%
61,1010,6144c588bd0cc52ba0275362,1630737.246,509,0,44,1.0,0.9960707269155207,0.9980314960629921,0.0,0.0,0.0,1.0,1.0,1.0,0.4,32.368896925858955
62,1010,6144c588bd0cc52ba0275362,1630737.262,506,0,39,1.0,0.9960474308300395,0.998019801980198,0.0,0.0,0.0,0.9512195121951219,1.0,0.975,0.4,64.03669724770641
63,1011,6144c5b1bd0cc5a681275363,1630737.086,879,0,0,1.0,0.9647326507394767,0.9820497973364215,0.0,0.0,0.0,0.0,0.0,0.0,3.5,67.34926052332196
64,1012,6144c682bd0cc5acb7275368,1630737.013,714,0,78,0.9971949509116409,0.9957983193277311,0.9964961457603363,0.0,0.0,0.0,0.96,0.9230769230769231,0.9411764705882353,1.1,100.0
65,1012,6144c682bd0cc5acb7275368,1630737.036,680,0,89,1.0,0.9882352941176471,0.9940828402366864,0.0,0.0,0.0,0.9247311827956989,0.9662921348314607,0.945054945054945,1.4,97.52925877763329
66,1012,6144c682bd0cc5acb7275368,1630737.065,775,0,101,1.0,0.9909677419354839,0.9954633830200907,0.0,0.0,0.0,0.9345794392523364,0.9900990099009901,0.9615384615384615,0.9,100.0
67,1012,6144c682bd0cc5acb7275368,1630737.069,670,0,104,1.0,0.9985074626865672,0.9992531740104555,0.0,0.0,0.0,0.9901960784313726,0.9711538461538461,0.9805825242718447,0.5,100.0
68,1012,6144c682bd0cc5acb7275368,1630737.094,811,0,87,0.9975369458128078,0.998766954377312,0.99815157116451,0.0,0.0,0.0,0.9882352941176471,0.9655172413793104,0.9767441860465116,0.4,89.42093541202672
69,1012,6144c682bd0cc5acb7275368,1630737.128,863,0,89,0.9988425925925926,1.0,0.9994209612044007,0.0,0.0,0.0,1.0,0.9438202247191011,0.9710982658959537,0.5,93.69747899159664
70,1012,6144c682bd0cc5acb7275368,1630737.167,873,0,123,0.997709049255441,0.997709049255441,0.997709049255441,0.0,0.0,0.0,0.9833333333333333,0.959349593495935,0.97119341563786,0.7,100.0
71,1012,6144c682bd0cc5acb7275368,1630737.212,739,0,99,1.0,0.9661705006765899,0.9827942188575362,0.0,0.0,0.0,0.8099173553719008,0.98989898989899,0.8909090909090909,3.1,78.75894988066825
72,1012,6144c682bd0cc5acb7275368,1630737.215,860,0,100,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.98,0.98989898989899,0.2,97.29166666666667
73,1012,6144c682bd0cc5acb7275368,1630737.264,702,0,67,0.9985714285714286,0.9957264957264957,0.9971469329529243,0.0,0.0,0.0,0.9701492537313433,0.9701492537313433,0.9701492537313433,0.7,65.7997399219766
74,1013,614dbfd24bac1cce7b017aef,1630737.044,568,1,0,0.9978021978021978,0.7992957746478874,0.8875855327468231,0.0,0.0,0.0,0.0,0.0,0.0,20.2,19.332161687170473
75,1013,614dbfd24bac1cce7b017aef,1630737.057,632,0,0,1.0,0.8275316455696202,0.9056277056277056,0.0,0.0,0.0,0.0,0.0,0.0,17.2,65.03164556962025
